distance,robot_vel,angle,rpm,cost
1.839,0.2755,71.4662,2365.04,0.094401
1.839,0.4592,73.1203,2345.81,0.094117
1.839,0.6429,74.6642,2322.64,0.093617
1.839,0.8265,76.4286,2309.98,0.09342
1.839,1.0102,78.0827,2293.34,0.093015
1.839,1.1939,79.7368,2277.52,0.092578
1.839,1.3776,81.5013,2268.47,0.092309
1.839,1.5612,83.2657,2260.92,0.092032
1.839,1.7449,85.0301,2254.97,0.091755
1.839,1.9286,86.7945,2250.71,0.091486
1.839,2.1122,88.5589,2248.31,0.091234
1.839,2.2959,88.0075,2124.31,0.092403
1.839,2.4796,88.3383,2067.85,0.095021
1.9237,-4.5,45.1103,3537.63,0.108012
1.9237,-4.3163,45.0,3457.36,0.106069
1.9237,-4.1327,45.0,3383.55,0.10478
1.9237,-3.949,45.3308,3319.95,0.103636
1.9237,-3.7653,45.0,3243.46,0.102261
1.9237,-3.5816,45.0,3178.5,0.102103
1.9237,-3.398,45.4411,3121.66,0.101252
1.9237,-3.2143,45.0,3056.81,0.101178
1.9237,-3.0306,47.3158,3025.23,0.101072
1.9237,-2.8469,48.4185,2980.55,0.101157
1.9237,-2.6633,49.411,2934.22,0.101009
1.9237,-2.4796,48.9699,2867.21,0.100928
1.9237,-2.2959,51.6165,2846.99,0.100869
1.9237,-2.1122,52.7193,2803.95,0.100704
1.9237,-1.9286,53.9323,2763.73,0.100639
1.9237,-1.7449,55.0351,2721.37,0.100347
1.9237,-1.5612,56.3584,2684.61,0.10031
1.9237,-1.3776,57.5714,2645.61,0.100048
1.9237,-1.1939,58.8947,2609.81,0.099876
1.9237,-1.0102,60.218,2574.48,0.099639
1.9237,-0.8265,61.6516,2542.7,0.099489
1.9237,-0.6429,62.9749,2508.24,0.099121
1.9237,-0.4592,64.5188,2480.89,0.098994
1.9237,-0.2755,65.9524,2450.74,0.098652
1.9237,-0.0918,67.4962,2424.74,0.098402
1.9237,0.0918,69.0401,2399.43,0.098096
1.9237,0.2755,70.584,2374.75,0.097734
1.9237,0.4592,72.2381,2354.93,0.097477
1.9237,0.6429,73.782,2331.56,0.097015
1.9237,0.8265,75.4361,2313.37,0.096669
1.9237,1.0102,77.2005,2301.02,0.096454
1.9237,1.1939,78.8546,2284.84,0.096041
1.9237,1.3776,80.619,2275.05,0.095779
1.9237,1.5612,82.2732,2260.88,0.095316
1.9237,1.7449,84.0376,2253.79,0.095029
1.9237,1.9286,85.802,2248.33,0.094744
1.9237,2.1122,87.5664,2244.61,0.09447
1.9237,2.2959,88.2281,2181.24,0.094613
1.9237,2.4796,88.6692,2118.65,0.095729
1.9237,2.6633,89.0,2065.19,0.098717
2.0085,-4.5,45.0,3567.36,0.111127
2.0085,-4.3163,45.0,3490.77,0.109537
2.0085,-4.1327,45.2206,3422.46,0.108127
2.0085,-3.949,45.0,3344.86,0.106587
2.0085,-3.7653,45.0,3276.44,0.105977
2.0085,-3.5816,45.3308,3215.9,0.104946
2.0085,-3.398,45.0,3147.42,0.10443
2.0085,-3.2143,45.8822,3098.04,0.104314
2.0085,-3.0306,46.7644,3048.97,0.104146
2.0085,-2.8469,47.7569,3002.04,0.104094
2.0085,-2.6633,48.8596,2957.45,0.104156
2.0085,-2.4796,49.8521,2911.33,0.10399
2.0085,-2.2959,50.9549,2867.65,0.10393
2.0085,-2.1122,52.0576,2824.39,0.103809
2.0085,-1.9286,53.2707,2783.83,0.103784
2.0085,-1.7449,54.3734,2741.39,0.10354
2.0085,-1.5612,55.5865,2701.73,0.103389
2.0085,-1.3776,56.9098,2665.09,0.103327
2.0085,-1.1939,58.1228,2626.33,0.103048
2.0085,-1.0102,59.4461,2590.7,0.102856
2.0085,-0.8265,60.8797,2558.48,0.102747
2.0085,-0.6429,62.203,2523.87,0.102427
2.0085,-0.4592,63.6366,2492.81,0.102191
2.0085,-0.2755,65.1805,2465.62,0.10204
2.0085,-0.0918,66.614,2435.76,0.101682
2.0085,0.0918,68.1579,2409.98,0.101413
2.0085,0.2755,69.7018,2384.9,0.101088
2.0085,0.4592,72.6792,2414.63,0.100778
2.0085,0.6429,72.8997,2340.81,0.100435
2.0085,0.8265,75.8772,2377.18,0.100109
2.0085,1.0102,76.208,2304.35,0.099757
2.0085,1.1939,79.1855,2348.58,0.099492
2.0085,1.3776,79.6266,2276.66,0.099104
2.0085,1.5612,81.391,2267.3,0.09883
2.0085,1.7449,83.1554,2259.47,0.098547
